# Unicode Emoji 17.0 机器可读版
# 生成日期: 2026-02-13
# 数据源: emoji-test.txt (官方17.0)
# 字段: 字符	码位序列	状态	版本	名称
# 行数: 包含 fully/minimally/unqualified/component，完全未过滤
🖖🏾	1F596 1F3FE	fully-qualified	E1.0	vulcan salute: medium-dark skin tone
🖖🏿	1F596 1F3FF	fully-qualified	E1.0	vulcan salute: dark skin tone
🫱	1FAF1	fully-qualified	E14.0	rightwards hand
🫱🏻	1FAF1 1F3FB	fully-qualified	E14.0	rightwards hand: light skin tone
🫱🏼	1FAF1 1F3FC	fully-qualified	E14.0	rightwards hand: medium-light skin tone
🫱🏽	1FAF1 1F3FD	fully-qualified	E14.0	rightwards hand: medium skin tone
🫱🏾	1FAF1 1F3FE	fully-qualified	E14.0	rightwards hand: medium-dark skin tone
🫱🏿	1FAF1 1F3FF	fully-qualified	E14.0	rightwards hand: dark skin tone
🫲	1FAF2	fully-qualified	E14.0	leftwards hand
🫲🏻	1FAF2 1F3FB	fully-qualified	E14.0	leftwards hand: light skin tone
🫲🏼	1FAF2 1F3FC	fully-qualified	E14.0	leftwards hand: medium-light skin tone
🫲🏽	1FAF2 1F3FD	fully-qualified	E14.0	leftwards hand: medium skin tone
🫲🏾	1FAF2 1F3FE	fully-qualified	E14.0	leftwards hand: medium-dark skin tone
🫲🏿	1FAF2 1F3FF	fully-qualified	E14.0	leftwards hand: dark skin tone
🫳	1FAF3	fully-qualified	E14.0	palm down hand
🫳🏻	1FAF3 1F3FB	fully-qualified	E14.0	palm down hand: light skin tone
🫳🏼	1FAF3 1F3FC	fully-qualified	E14.0	palm down hand: medium-light skin tone
🫳🏽	1FAF3 1F3FD	fully-qualified	E14.0	palm down hand: medium skin tone
🫳🏾	1FAF3 1F3FE	fully-qualified	E14.0	palm down hand: medium-dark skin tone
🫳🏿	1FAF3 1F3FF	fully-qualified	E14.0	palm down hand: dark skin tone
🫴	1FAF4	fully-qualified	E14.0	palm up hand
🫴🏻	1FAF4 1F3FB	fully-qualified	E14.0	palm up hand: light skin tone
🫴🏼	1FAF4 1F3FC	fully-qualified	E14.0	palm up hand: medium-light skin tone
🫴🏽	1FAF4 1F3FD	fully-qualified	E14.0	palm up hand: medium skin tone
🫴🏾	1FAF4 1F3FE	fully-qualified	E14.0	palm up hand: medium-dark skin tone
🫴🏿	1FAF4 1F3FF	fully-qualified	E14.0	palm up hand: dark skin tone
🫷	1FAF7	fully-qualified	E15.0	leftwards pushing hand
🫷🏻	1FAF7 1F3FB	fully-qualified	E15.0	leftwards pushing hand: light skin tone
🫷🏼	1FAF7 1F3FC	fully-qualified	E15.0	leftwards pushing hand: medium-light skin tone
🫷🏽	1FAF7 1F3FD	fully-qualified	E15.0	leftwards pushing hand: medium skin tone
🫷🏾	1FAF7 1F3FE	fully-qualified	E15.0	leftwards pushing hand: medium-dark skin tone
🫷🏿	1FAF7 1F3FF	fully-qualified	E15.0	leftwards pushing hand: dark skin tone
🫸	1FAF8	fully-qualified	E15.0	rightwards pushing hand
🫸🏻	1FAF8 1F3FB	fully-qualified	E15.0	rightwards pushing hand: light skin tone
🫸🏼	1FAF8 1F3FC	fully-qualified	E15.0	rightwards pushing hand: medium-light skin tone
🫸🏽	1FAF8 1F3FD	fully-qualified	E15.0	rightwards pushing hand: medium skin tone
🫸🏾	1FAF8 1F3FE	fully-qualified	E15.0	rightwards pushing hand: medium-dark skin tone
🫸🏿	1FAF8 1F3FF	fully-qualified	E15.0	rightwards pushing hand: dark skin tone
👌	1F44C	fully-qualified	E0.6	OK hand
👌🏻	1F44C 1F3FB	fully-qualified	E1.0	OK hand: light skin tone
👌🏼	1F44C 1F3FC	fully-qualified	E1.0	OK hand: medium-light skin tone
👌🏽	1F44C 1F3FD	fully-qualified	E1.0	OK hand: medium skin tone
👌🏾	1F44C 1F3FE	fully-qualified	E1.0	OK hand: medium-dark skin tone
👌🏿	1F44C 1F3FF	fully-qualified	E1.0	OK hand: dark skin tone
🤌	1F90C	fully-qualified	E13.0	pinched fingers
🤌🏻	1F90C 1F3FB	fully-qualified	E13.0	pinched fingers: light skin tone
🤌🏼	1F90C 1F3FC	fully-qualified	E13.0	pinched fingers: medium-light skin tone
🤌🏽	1F90C 1F3FD	fully-qualified	E13.0	pinched fingers: medium skin tone
🤌🏾	1F90C 1F3FE	fully-qualified	E13.0	pinched fingers: medium-dark skin tone
🤌🏿	1F90C 1F3FF	fully-qualified	E13.0	pinched fingers: dark skin tone
🤏	1F90F	fully-qualified	E12.0	pinching hand
🤏🏻	1F90F 1F3FB	fully-qualified	E12.0	pinching hand: light skin tone
🤏🏼	1F90F 1F3FC	fully-qualified	E12.0	pinching hand: medium-light skin tone
🤏🏽	1F90F 1F3FD	fully-qualified	E12.0	pinching hand: medium skin tone
🤏🏾	1F90F 1F3FE	fully-qualified	E12.0	pinching hand: medium-dark skin tone
🤏🏿	1F90F 1F3FF	fully-qualified	E12.0	pinching hand: dark skin tone
✌️	270C FE0F	fully-qualified	E0.6	victory hand
✌	270C	unqualified	E0.6	victory hand
✌🏻	270C 1F3FB	fully-qualified	E1.0	victory hand: light skin tone
✌🏼	270C 1F3FC	fully-qualified	E1.0	victory hand: medium-light skin tone
✌🏽	270C 1F3FD	fully-qualified	E1.0	victory hand: medium skin tone
✌🏾	270C 1F3FE	fully-qualified	E1.0	victory hand: medium-dark skin tone
✌🏿	270C 1F3FF	fully-qualified	E1.0	victory hand: dark skin tone
🤞	1F91E	fully-qualified	E3.0	crossed fingers
🤞🏻	1F91E 1F3FB	fully-qualified	E3.0	crossed fingers: light skin tone
🤞🏼	1F91E 1F3FC	fully-qualified	E3.0	crossed fingers: medium-light skin tone
🤞🏽	1F91E 1F3FD	fully-qualified	E3.0	crossed fingers: medium skin tone
🤞🏾	1F91E 1F3FE	fully-qualified	E3.0	crossed fingers: medium-dark skin tone
🤞🏿	1F91E 1F3FF	fully-qualified	E3.0	crossed fingers: dark skin tone
🫰	1FAF0	fully-qualified	E14.0	hand with index finger and thumb crossed
🫰🏻	1FAF0 1F3FB	fully-qualified	E14.0	hand with index finger and thumb crossed: light skin tone
🫰🏼	1FAF0 1F3FC	fully-qualified	E14.0	hand with index finger and thumb crossed: medium-light skin tone
🫰🏽	1FAF0 1F3FD	fully-qualified	E14.0	hand with index finger and thumb crossed: medium skin tone
🫰🏾	1FAF0 1F3FE	fully-qualified	E14.0	hand with index finger and thumb crossed: medium-dark skin tone
🫰🏿	1FAF0 1F3FF	fully-qualified	E14.0	hand with index finger and thumb crossed: dark skin tone
🤟	1F91F	fully-qualified	E5.0	love-you gesture
🤟🏻	1F91F 1F3FB	fully-qualified	E5.0	love-you gesture: light skin tone
🤟🏼	1F91F 1F3FC	fully-qualified	E5.0	love-you gesture: medium-light skin tone
🤟🏽	1F91F 1F3FD	fully-qualified	E5.0	love-you gesture: medium skin tone
🤟🏾	1F91F 1F3FE	fully-qualified	E5.0	love-you gesture: medium-dark skin tone
🤟🏿	1F91F 1F3FF	fully-qualified	E5.0	love-you gesture: dark skin tone
🤘	1F918	fully-qualified	E1.0	sign of the horns
🤘🏻	1F918 1F3FB	fully-qualified	E1.0	sign of the horns: light skin tone
🤘🏼	1F918 1F3FC	fully-qualified	E1.0	sign of the horns: medium-light skin tone
🤘🏽	1F918 1F3FD	fully-qualified	E1.0	sign of the horns: medium skin tone
🤘🏾	1F918 1F3FE	fully-qualified	E1.0	sign of the horns: medium-dark skin tone
🤘🏿	1F918 1F3FF	fully-qualified	E1.0	sign of the horns: dark skin tone
🤙	1F919	fully-qualified	E3.0	call me hand
🤙🏻	1F919 1F3FB	fully-qualified	E3.0	call me hand: light skin tone
🤙🏼	1F919 1F3FC	fully-qualified	E3.0	call me hand: medium-light skin tone
🤙🏽	1F919 1F3FD	fully-qualified	E3.0	call me hand: medium skin tone
🤙🏾	1F919 1F3FE	fully-qualified	E3.0	call me hand: medium-dark skin tone
🤙🏿	1F919 1F3FF	fully-qualified	E3.0	call me hand: dark skin tone
👈	1F448	fully-qualified	E0.6	backhand index pointing left
👈🏻	1F448 1F3FB	fully-qualified	E1.0	backhand index pointing left: light skin tone
👈🏼	1F448 1F3FC	fully-qualified	E1.0	backhand index pointing left: medium-light skin tone
👈🏽	1F448 1F3FD	fully-qualified	E1.0	backhand index pointing left: medium skin tone
👈🏾	1F448 1F3FE	fully-qualified	E1.0	backhand index pointing left: medium-dark skin tone
👈🏿	1F448 1F3FF	fully-qualified	E1.0	backhand index pointing left: dark skin tone
👉	1F449	fully-qualified	E0.6	backhand index pointing right
👉🏻	1F449 1F3FB	fully-qualified	E1.0	backhand index pointing right: light skin tone
👉🏼	1F449 1F3FC	fully-qualified	E1.0	backhand index pointing right: medium-light skin tone
👉🏽	1F449 1F3FD	fully-qualified	E1.0	backhand index pointing right: medium skin tone
👉🏾	1F449 1F3FE	fully-qualified	E1.0	backhand index pointing right: medium-dark skin tone
👉🏿	1F449 1F3FF	fully-qualified	E1.0	backhand index pointing right: dark skin tone
👆	1F446	fully-qualified	E0.6	backhand index pointing up
👆🏻	1F446 1F3FB	fully-qualified	E1.0	backhand index pointing up: light skin tone
👆🏼	1F446 1F3FC	fully-qualified	E1.0	backhand index pointing up: medium-light skin tone
👆🏽	1F446 1F3FD	fully-qualified	E1.0	backhand index pointing up: medium skin tone
👆🏾	1F446 1F3FE	fully-qualified	E1.0	backhand index pointing up: medium-dark skin tone
👆🏿	1F446 1F3FF	fully-qualified	E1.0	backhand index pointing up: dark skin tone
🖕	1F595	fully-qualified	E1.0	middle finger
🖕🏻	1F595 1F3FB	fully-qualified	E1.0	middle finger: light skin tone
🖕🏼	1F595 1F3FC	fully-qualified	E1.0	middle finger: medium-light skin tone
🖕🏽	1F595 1F3FD	fully-qualified	E1.0	middle finger: medium skin tone
🖕🏾	1F595 1F3FE	fully-qualified	E1.0	middle finger: medium-dark skin tone
🖕🏿	1F595 1F3FF	fully-qualified	E1.0	middle finger: dark skin tone
👇	1F447	fully-qualified	E0.6	backhand index pointing down
👇🏻	1F447 1F3FB	fully-qualified	E1.0	backhand index pointing down: light skin tone
👇🏼	1F447 1F3FC	fully-qualified	E1.0	backhand index pointing down: medium-light skin tone
👇🏽	1F447 1F3FD	fully-qualified	E1.0	backhand index pointing down: medium skin tone
👇🏾	1F447 1F3FE	fully-qualified	E1.0	backhand index pointing down: medium-dark skin tone
👇🏿	1F447 1F3FF	fully-qualified	E1.0	backhand index pointing down: dark skin tone
☝️	261D FE0F	fully-qualified	E0.6	index pointing up
☝	261D	unqualified	E0.6	index pointing up
☝🏻	261D 1F3FB	fully-qualified	E1.0	index pointing up: light skin tone
☝🏼	261D 1F3FC	fully-qualified	E1.0	index pointing up: medium-light skin tone
☝🏽	261D 1F3FD	fully-qualified	E1.0	index pointing up: medium skin tone
☝🏾	261D 1F3FE	fully-qualified	E1.0	index pointing up: medium-dark skin tone
☝🏿	261D 1F3FF	fully-qualified	E1.0	index pointing up: dark skin tone
🫵	1FAF5	fully-qualified	E14.0	index pointing at the viewer
🫵🏻	1FAF5 1F3FB	fully-qualified	E14.0	index pointing at the viewer: light skin tone
🫵🏼	1FAF5 1F3FC	fully-qualified	E14.0	index pointing at the viewer: medium-light skin tone
🫵🏽	1FAF5 1F3FD	fully-qualified	E14.0	index pointing at the viewer: medium skin tone
🫵🏾	1FAF5 1F3FE	fully-qualified	E14.0	index pointing at the viewer: medium-dark skin tone
🫵🏿	1FAF5 1F3FF	fully-qualified	E14.0	index pointing at the viewer: dark skin tone
👍	1F44D	fully-qualified	E0.6	thumbs up
👍🏻	1F44D 1F3FB	fully-qualified	E1.0	thumbs up: light skin tone
👍🏼	1F44D 1F3FC	fully-qualified	E1.0	thumbs up: medium-light skin tone
👍🏽	1F44D 1F3FD	fully-qualified	E1.0	thumbs up: medium skin tone
👍🏾	1F44D 1F3FE	fully-qualified	E1.0	thumbs up: medium-dark skin tone
👍🏿	1F44D 1F3FF	fully-qualified	E1.0	thumbs up: dark skin tone
👎	1F44E	fully-qualified	E0.6	thumbs down
👎🏻	1F44E 1F3FB	fully-qualified	E1.0	thumbs down: light skin tone
👎🏼	1F44E 1F3FC	fully-qualified	E1.0	thumbs down: medium-light skin tone
👎🏽	1F44E 1F3FD	fully-qualified	E1.0	thumbs down: medium skin tone
👎🏾	1F44E 1F3FE	fully-qualified	E1.0	thumbs down: medium-dark skin tone
👎🏿	1F44E 1F3FF	fully-qualified	E1.0	thumbs down: dark skin tone
✊	270A	fully-qualified	E0.6	raised fist
✊🏻	270A 1F3FB	fully-qualified	E1.0	raised fist: light skin tone
✊🏼	270A 1F3FC	fully-qualified	E1.0	raised fist: medium-light skin tone
✊🏽	270A 1F3FD	fully-qualified	E1.0	raised fist: medium skin tone
✊🏾	270A 1F3FE	fully-qualified	E1.0	raised fist: medium-dark skin tone
✊🏿	270A 1F3FF	fully-qualified	E1.0	raised fist: dark skin tone
👊	1F44A	fully-qualified	E0.6	oncoming fist
👊🏻	1F44A 1F3FB	fully-qualified	E1.0	oncoming fist: light skin tone
👊🏼	1F44A 1F3FC	fully-qualified	E1.0	oncoming fist: medium-light skin tone
👊🏽	1F44A 1F3FD	fully-qualified	E1.0	oncoming fist: medium skin tone
👊🏾	1F44A 1F3FE	fully-qualified	E1.0	oncoming fist: medium-dark skin tone
👊🏿	1F44A 1F3FF	fully-qualified	E1.0	oncoming fist: dark skin tone
🤛	1F91B	fully-qualified	E3.0	left-facing fist
🤛🏻	1F91B 1F3FB	fully-qualified	E3.0	left-facing fist: light skin tone
🤛🏼	1F91B 1F3FC	fully-qualified	E3.0	left-facing fist: medium-light skin tone
🤛🏽	1F91B 1F3FD	fully-qualified	E3.0	left-facing fist: medium skin tone
🤛🏾	1F91B 1F3FE	fully-qualified	E3.0	left-facing fist: medium-dark skin tone
🤛🏿	1F91B 1F3FF	fully-qualified	E3.0	left-facing fist: dark skin tone
🤜	1F91C	fully-qualified	E3.0	right-facing fist
🤜🏻	1F91C 1F3FB	fully-qualified	E3.0	right-facing fist: light skin tone
🤜🏼	1F91C 1F3FC	fully-qualified	E3.0	right-facing fist: medium-light skin tone
🤜🏽	1F91C 1F3FD	fully-qualified	E3.0	right-facing fist: medium skin tone
🤜🏾	1F91C 1F3FE	fully-qualified	E3.0	right-facing fist: medium-dark skin tone
🤜🏿	1F91C 1F3FF	fully-qualified	E3.0	right-facing fist: dark skin tone
👏	1F44F	fully-qualified	E0.6	clapping hands
👏🏻	1F44F 1F3FB	fully-qualified	E1.0	clapping hands: light skin tone
👏🏼	1F44F 1F3FC	fully-qualified	E1.0	clapping hands: medium-light skin tone
👏🏽	1F44F 1F3FD	fully-qualified	E1.0	clapping hands: medium skin tone
👏🏾	1F44F 1F3FE	fully-qualified	E1.0	clapping hands: medium-dark skin tone
👏🏿	1F44F 1F3FF	fully-qualified	E1.0	clapping hands: dark skin tone
